Time,Host,Caption,CommandLine,CreationClassName,CreationDate,CSCreationClassName,CSName,Description,ExecutablePath,ExecutionState,Handle,HandleCount,InstallDate,KernelModeTime,MaximumWorkingSetSize,MinimumWorkingSetSize,Name,OSCreationClassName,OSName,OtherOperationCount,OtherTransferCount,PageFaults,PageFileUsage,ParentProcessId,PeakPageFileUsage,PeakVirtualSize,PeakWorkingSetSize,Priority,PrivatePageCount,ProcessId,QuotaNonPagedPoolUsage,QuotaPagedPoolUsage,QuotaPeakNonPagedPoolUsage,QuotaPeakPagedPoolUsage,ReadOperationCount,ReadTransferCount,SessionId,Status,TerminationDate,ThreadCount,UserModeTime,VirtualSize,WindowsVersion,WorkingSetSize,WriteOperationCount,WriteTransferCount
1698484829.733837,pc-dedo,System Idle Process,,Win32_Process,20231012192542.121134+120,Win32_ComputerSystem,PC-DEDO,System Idle Process,,,0,0,,21911870312500,,,System Idle Process,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,0,0,9,60,0,60,8192,12,0,61440,0,1,0,1,0,0,0,0,,,12,0,8192,10.0.19045,8192,0,0
1698484829.733837,pc-dedo,System,,Win32_Process,20231012192542.121134+120,Win32_ComputerSystem,PC-DEDO,System,,,4,6686,,177282031250,,,System,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,6238553,1432568634,19947,204,0,280,18870272,3024,8,208896,4,1,0,1,0,37947,171801711,0,,,280,0,6889472,10.0.19045,2437120,1247403,12429089027
1698484829.733837,pc-dedo,Secure System,,Win32_Process,20231012192539.582870+120,Win32_ComputerSystem,PC-DEDO,Secure System,,,88,0,,0,,,Secure System,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,0,0,690,184,4,232,2801664,120,8,188416,88,1,9,1,10,0,0,0,,,0,0,2269184,10.0.19045,41496576,0,0
1698484829.733837,pc-dedo,Registry,,Win32_Process,20231012192539.676952+120,Win32_ComputerSystem,PC-DEDO,Registry,,,156,0,,38906250,,,Registry,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,4332,3971,1419625,9216,4,134804,535216128,388380,8,9437184,156,17,328,57,1025,105,1290240,0,,,4,0,169377792,10.0.19045,59432960,42273,827625472
1698484829.733837,pc-dedo,smss.exe,,Win32_Process,20231012192542.126325+120,Win32_ComputerSystem,PC-DEDO,smss.exe,,,532,53,,2343750,,,smss.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,779,12336,1635,1084,4,1888,2203378147328,1972,11,1110016,532,4,13,9,24,22,16804,0,,,2,0,2203376574464,10.0.19045,1036288,19,833184
1698484829.733837,pc-dedo,csrss.exe,,Win32_Process,20231012192544.290827+120,Win32_ComputerSystem,PC-DEDO,csrss.exe,,,764,799,,60156250,,,csrss.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,70797,3815606,21611,2684,756,3716,2203420516352,6120,13,2748416,764,27,273,31,307,1736,1748257,0,,,20,13437500,2203417759744,10.0.19045,4050944,1,31
1698484829.733837,pc-dedo,wininit.exe,,Win32_Process,20231012192545.655659+120,Win32_ComputerSystem,PC-DEDO,wininit.exe,,,928,198,,1718750,,,wininit.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,2213,5876,11954,2020,756,2584,2203401142272,7800,13,2068480,928,12,79,14,89,3,16900,0,,,1,937500,2203389022208,10.0.19045,4268032,0,0
1698484829.733837,pc-dedo,services.exe,,Win32_Process,20231012192545.718994+120,Win32_ComputerSystem,PC-DEDO,services.exe,,,1012,835,,659687500,,,services.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,62710,1139958,389045,7628,928,8876,2203445145600,15168,9,7811072,1012,15,212,21,244,130,377012,0,,,6,553750000,2203403325440,10.0.19045,9551872,1,160
1698484829.733837,pc-dedo,LsaIso.exe,,Win32_Process,20231012192545.744312+120,Win32_ComputerSystem,PC-DEDO,LsaIso.exe,,,708,52,,10468750,,,LsaIso.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,157,0,13774,2800,928,2912,2203373264896,3860,8,2867200,708,32,27,33,28,0,0,0,,,1,0,2203371175936,10.0.19045,3584000,0,0
1698484829.733837,pc-dedo,lsass.exe,,Win32_Process,20231012192545.746266+120,Win32_ComputerSystem,PC-DEDO,lsass.exe,,,744,2052,,955937500,,,lsass.exe,Win32_OperatingSystem,Microsoft Windows 10 Pro|C:\Windows|\Device\Harddisk1\Partition3,2132231,72419840,449988,12704,928,13696,2203466067968,56496,9,13008896,744,31,234,37,249,201532,45163601,0,,,10,949687500,2203454566400,10.0.19045,21839872,17862,7145977
